epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0934,1.04177,4.44945,1.42959,0.00361,0.59608,0.03857,0.01011,0.91149,5.20628,0.93522,2.142e-05,2.142e-05,2.142e-05
2,33.3806,1.01403,4.30307,1.37192,0.01381,0.5502,0.05127,0.02574,0.94559,5.19799,0.94056,4.94852e-05,4.94852e-05,4.94852e-05
3,48.5397,0.98293,4.57587,1.35058,0.04923,0.71686,0.10385,0.07481,0.99268,5.17721,0.9535,7.69849e-05,7.69849e-05,7.69849e-05
4,63.5251,0.95157,4.20735,1.34101,0.039,0.73686,0.18564,0.13766,1.05981,5.19825,0.97136,0.000103919,0.000103919,0.000103919
5,78.7211,0.89502,3.80207,1.30185,0.03622,0.74863,0.21714,0.15406,1.07171,5.21896,0.97624,0.000130288,0.000130288,0.000130288
6,94.1479,0.91972,3.69209,1.34312,0.026,0.78627,0.34543,0.22304,1.07497,5.18967,0.97432,0.000156091,0.000156091,0.000156091
7,109.591,1.01084,3.37321,1.39078,0.01748,0.85882,0.37325,0.28887,1.05294,5.1758,0.96683,0.000181329,0.000181329,0.000181329
8,124.755,0.8007,2.91453,1.21002,0.01224,0.82353,0.411,0.33079,1.05357,5.16095,0.96385,0.000206001,0.000206001,0.000206001
9,139.757,0.82919,3.25659,1.27102,0.00842,0.81176,0.34427,0.24843,1.06683,5.12933,0.95322,0.000230108,0.000230108,0.000230108
10,154.855,0.72782,2.77593,1.11911,0.00711,0.81765,0.27265,0.20031,1.11343,5.16689,0.98505,0.000253649,0.000253649,0.000253649
11,169.952,0.82595,2.87086,1.23418,0.00628,0.82353,0.31181,0.22617,1.17427,5.1917,1.03711,0.000276625,0.000276625,0.000276625
12,185.05,0.90579,2.52569,1.22773,0.84312,0.16,0.25299,0.18995,1.15357,5.14207,1.06531,0.000299035,0.000299035,0.000299035
13,200.257,1.00702,3.48091,1.23068,1,0.04121,0.26777,0.17796,1.09411,5.11304,1.03851,0.00032088,0.00032088,0.00032088
14,215.318,0.877,2.63828,1.21848,0.95005,0.06009,0.27812,0.18924,1.06299,5.10816,1.01723,0.00034216,0.00034216,0.00034216
15,230.52,0.89757,2.39673,1.22938,0.95656,0.07313,0.32883,0.22532,1.07545,5.04356,1.0529,0.000362873,0.000362873,0.000362873
16,245.861,0.96619,2.36515,1.27489,0.96541,0.12,0.30608,0.20432,1.05061,5.05008,1.02987,0.000383022,0.000383022,0.000383022
17,261.649,0.91174,2.58345,1.30541,0.99302,0.12,0.29928,0.20672,1.05354,4.97942,1.04088,0.000402605,0.000402605,0.000402605
18,277.705,0.76339,2.561,1.27727,0.9622,0.14,0.29508,0.20933,1.06423,4.93396,1.05326,0.000421622,0.000421622,0.000421622
19,292.96,0.94654,2.53731,1.38336,0.99604,0.12,0.29709,0.24358,1.0754,4.95777,1.06814,0.000440074,0.000440074,0.000440074
20,307.899,0.91243,2.30334,1.38789,0.97799,0.1,0.29579,0.22924,1.08416,5.00555,1.09298,0.00045796,0.00045796,0.00045796
